Date, Open, High, Low, Close
11/27/18, 26345.37, 26417.84, 26158.97, 26331.96
11/26/18, 26099.35, 26413.76, 26031.90, 26376.18
11/23/18, 25950.07, 25983.25, 25807.26, 25927.68
11/22/18, 26139.39, 26139.39, 25873.38, 26019.41
11/21/18, 25496.85, 25998.28, 25494.51, 25971.47
11/20/18, 26043.51, 26132.29, 25776.22, 25840.34
11/19/18, 26278.87, 26397.39, 26146.39, 26372.00
11/16/18, 26041.56, 26197.31, 25850.04, 26183.53
11/15/18, 25862.18, 26127.14, 25611.72, 26103.34
11/14/18, 25874.36, 25874.36, 25489.86, 25654.43
11/13/18, 25092.30, 25792.87, 25092.30, 25792.87
11/12/18, 25576.28, 25765.96, 25505.33, 25633.18
11/09/18, 25925.09, 25925.09, 25475.32, 25601.92
11/08/18, 26491.27, 26491.27, 26141.25, 26227.72
11/07/18, 26125.09, 26530.87, 25920.72, 26147.69
11/06/18, 26062.24, 26159.83, 25826.69, 26120.96
11/05/18, 26050.34, 26146.81, 25747.52, 25934.39
11/02/18, 25980.44, 26486.35, 25909.71, 26486.35
11/01/18, 25228.75, 25535.12, 25190.90, 25416.00
10/31/18, 24752.83, 24979.69, 24700.11, 24979.69
10/30/18, 24765.12, 24939.18, 24540.63, 24585.53
10/29/18, 24955.79, 24955.79, 24594.74, 24812.04
10/26/18, 25031.49, 25062.20, 24589.04, 24717.63
10/25/18, 24766.72, 24994.46, 24653.79, 24994.46
10/24/18, 25401.17, 25653.36, 25194.29, 25249.78
10/23/18, 26015.49, 26015.49, 25315.76, 25346.55
10/22/18, 25668.33, 26234.86, 25668.33, 26153.15
10/19/18, 25172.03, 25743.45, 25090.30, 25561.40
10/18/18, 25674.66, 25674.66, 25261.72, 25454.55
10/16/18, 25586.16, 25712.13, 25266.54, 25462.26
10/15/18, 25683.59, 25683.59, 25399.54, 25445.06
10/12/18, 25401.41, 25835.76, 25286.86, 25801.49
10/11/18, 25392.90, 25437.85, 25125.22, 25266.37
10/10/18, 26281.28, 26499.84, 26193.07, 26193.07
10/09/18, 26194.17, 26366.60, 26067.51, 26172.91
10/08/18, 26717.60, 26717.60, 26187.83, 26202.57
10/05/18, 26503.75, 26639.64, 26373.46, 26572.57
10/04/18, 27029.40, 27029.40, 26551.44, 26623.87
10/03/18, 26840.20, 27270.16, 26840.20, 27091.26
10/02/18, 27716.16, 27716.16, 27073.08, 27126.38
09/28/18, 27879.06, 27927.95, 27672.83, 27788.52
09/27/18, 27912.51, 27928.29, 27638.54, 27715.67
09/26/18, 27606.81, 28031.81, 27589.37, 27816.87
09/24/18, 27783.85, 27783.85, 27425.01, 27499.39
09/21/18, 27712.35, 27965.96, 27536.27, 27953.58
09/20/18, 27605.72, 27628.19, 27327.23, 27477.67
09/19/18, 27170.02, 27488.35, 27085.79, 27407.37
09/18/18, 26846.33, 27156.55, 26648.99, 27084.66
